get -scores cris, 2024-05-28T02:01:56.639074100

play, 2024-05-28T02:02:18.992660

get -score cris 1, 2024-05-28T02:02:40.779637700

delete -scores -player cris, 2024-05-28T02:02:57.968200200

get -scores cris, 2024-05-28T02:03:19.848058300

play, 2024-05-28T02:03:22.189189700

update -level 1 -map, 2024-05-28T02:06:05.484068800

get -notes 1, 2024-05-28T02:06:15.382295600

get -notes 1, 2024-05-28T02:09:32.356581300

get -scores cris, 2024-05-28T02:10:03.526224100

play, 2024-05-28T02:10:07.334424300

get -score cris 1, 2024-05-28T02:11:41.500636600

exit, 2024-05-28T02:11:44.708463500

play, 2024-05-28T02:15:00.879831700

delete -score cris 1, 2024-05-28T02:20:28.451634800

play, 2024-05-28T02:20:44.764127400

get -scores cris, 2024-05-28T02:21:05.281544800

play, 2024-05-28T02:21:08.208102

get -score cris 1, 2024-05-28T02:21:43.380648

get -scores cris, 2024-05-28T02:21:53.271776100

get -players, 2024-05-28T02:21:58.085602300

play, 2024-05-28T02:22:13.450452900

get -score cris 1, 2024-05-28T02:26:23.310413200

play, 2024-05-28T02:26:26.803765700

play, 2024-05-28T02:26:49.512682800

